Alejandro Martinez
Andrew Bryson
Andy Froncioni
Austin Roach
Berend De Schouwer
Bruno Assis
Chris Cleeland
Claus Assmann
Dag Gruneau
Damien Grauser
Darren Hague
Eric Brandt
Eric Murray
Frank Zschockelt
Gareth Coco
Greg Lonnon
Ilja Booij
Jamie Kimberley
Jim Ley
John Ehrlinger
Josef Gebel
Julian Baumgartner
Julian Simioni
Justin Knotzke
Keisuke Yamaguchi
Ken Sallot
Luke NRG
Magnus Gille
Marc Boudreau
Mark Liversedge
Mark Rages
Mitsukuni Sato
Ned Harding
Patrick McNerthney
Rainer Clasen
Robb Romans
Robert Carlsen
Roberto Massa
Ron Alford
Sean Rhea
Steven Gribble
Thomas Weichmann
Tom Weichmann
Walter Bürki
